DISTRICTE,CODI_ILLA,SECC_CENS,BARRI,NOM_DISTRICTE,NOM_BARRI,AEB,NUM_PARC,NUM_LOCALS,NUM_VIVENDES,NUM_PARKINGS,NUM_ALTRES,SUP_CONS,SUP_SOBRE_RASANT,SUP_SOTA_RASANT,SUP_LOCALS,SUP_SERVEIS,SUP_SOL,DATA_DADES
1,5071,1,1,Ciutat Vella,el Raval,1,4,96,1,3,89,202635,94173,108462,,,114001,01/09/2023 00:06:16
1,6041,36,3,Ciutat Vella,la Barceloneta,14,1,0,0,0,0,0,0,0,,,8360,01/09/2023 00:06:16
1,6044,36,3,Ciutat Vella,la Barceloneta,14,1,0,0,0,0,0,0,0,,,4843,01/09/2023 00:06:16
1,6054,36,3,Ciutat Vella,la Barceloneta,14,3,3,0,0,3,3711,0,3711,,,62393,01/09/2023 00:06:16
1,6055,36,3,Ciutat Vella,la Barceloneta,14,4,698,60,563,75,94304,54222,40082,,,13401,01/09/2023 00:06:16
1,6057,43,4,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",16,2,0,0,0,0,0,0,0,,,5932,01/09/2023 00:06:16
1,6058,36,3,Ciutat Vella,la Barceloneta,14,3,51,44,1,6,18534,12632,5902,,,7289,01/09/2023 00:06:16
1,6059,36,3,Ciutat Vella,la Barceloneta,14,2,22,0,1,21,35258,24663,10595,,,7193,01/09/2023 00:06:16
1,10026,32,3,Ciutat Vella,la Barceloneta,13,17,325,112,14,199,241016,171338,69678,,,452992,01/09/2023 00:06:16
1,10030,32,3,Ciutat Vella,la Barceloneta,13,6,90,78,0,12,7603,7603,0,,,17348,01/09/2023 00:06:16
1,10040,32,3,Ciutat Vella,la Barceloneta,13,1,0,0,0,0,0,0,0,,,11372,01/09/2023 00:06:16
1,10050,32,3,Ciutat Vella,la Barceloneta,13,1,1,0,0,1,71,71,0,,,71,01/09/2023 00:06:16
1,10060,32,3,Ciutat Vella,la Barceloneta,13,2,10,4,0,3,1117,1117,0,,,217,01/09/2023 00:06:16
1,10070,32,3,Ciutat Vella,la Barceloneta,13,5,42,21,0,5,1854,1782,72,,,410,01/09/2023 00:06:16
1,10080,32,3,Ciutat Vella,la Barceloneta,13,8,53,26,0,2,2036,1895,141,,,551,01/09/2023 00:06:16
1,10090,32,3,Ciutat Vella,la Barceloneta,13,5,46,37,0,9,4337,4337,0,,,780,01/09/2023 00:06:16
1,10100,32,3,Ciutat Vella,la Barceloneta,13,9,95,89,0,1,3716,3716,0,,,780,01/09/2023 00:06:16
1,10110,32,3,Ciutat Vella,la Barceloneta,13,7,112,110,0,0,4283,4283,0,,,795,01/09/2023 00:06:16
1,10120,32,3,Ciutat Vella,la Barceloneta,13,7,99,59,0,20,8546,7497,1049,,,1376,01/09/2023 00:06:16
1,10130,32,3,Ciutat Vella,la Barceloneta,13,5,54,32,0,17,5733,5169,564,,,1130,01/09/2023 00:06:16
1,10140,32,3,Ciutat Vella,la Barceloneta,13,5,75,27,1,8,4090,3876,214,,,650,01/09/2023 00:06:16
1,10150,32,3,Ciutat Vella,la Barceloneta,13,9,86,59,0,6,3603,3353,250,,,647,01/09/2023 00:06:16
1,10160,32,3,Ciutat Vella,la Barceloneta,13,10,87,64,0,6,3504,3504,0,,,640,01/09/2023 00:06:16
1,10170,32,3,Ciutat Vella,la Barceloneta,13,9,80,36,0,10,3116,3116,0,,,650,01/09/2023 00:06:16
1,10180,32,3,Ciutat Vella,la Barceloneta,13,6,67,61,0,6,2765,2737,28,,,655,01/09/2023 00:06:16
1,10190,32,3,Ciutat Vella,la Barceloneta,13,8,72,32,0,6,3359,3228,131,,,657,01/09/2023 00:06:16
1,10200,32,3,Ciutat Vella,la Barceloneta,13,8,81,44,0,8,3260,3129,131,,,656,01/09/2023 00:06:16
1,10210,32,3,Ciutat Vella,la Barceloneta,13,6,78,44,0,5,3908,3638,270,,,652,01/09/2023 00:06:16
1,10220,32,3,Ciutat Vella,la Barceloneta,13,7,35,11,0,5,1922,1883,39,,,660,01/09/2023 00:06:16
1,10230,32,3,Ciutat Vella,la Barceloneta,13,5,26,13,0,2,1235,1235,0,,,427,01/09/2023 00:06:16
1,10240,32,3,Ciutat Vella,la Barceloneta,13,1,0,0,0,0,0,0,0,,,327,01/09/2023 00:06:16
1,10250,??,3,Ciutat Vella,la Barceloneta,??,11,55,49,0,6,3403,3403,0,,,13122,01/09/2023 00:06:16
1,10260,34,3,Ciutat Vella,la Barceloneta,13,7,68,54,0,3,3073,3073,0,,,689,01/09/2023 00:06:16
1,10271,34,3,Ciutat Vella,la Barceloneta,13,19,205,158,0,14,8442,8442,0,,,1643,01/09/2023 00:06:16
